group,axis,value
P&D,2000,12560.65139
P&D,2001,13973.01851
P&D,2002,15031.91429
P&D,2003,17169.01123
P&D,2004,18861.58388
P&D,2005,21759.31063
P&D,2006,23807.01142
P&D,2007,29416.39091
P&D,2008,35110.82639
P&D,2009,37285.29686
P&D,2010,45072.85484
P&D,2011,49875.86233
P&D,2012,54254.59626
P&D,2013,63748.60304
P&D,2014,73468.20309
P&D,2015,80501.76519
P&D,2016,79228.26737
P&D,2017,82792.18604
ACTC,2000,3278.410677
ACTC,2001,3682.626202
ACTC,2002,4724.786468
ACTC,2003,5109.760172
ACTC,2004,6576.115308
ACTC,2005,6420.51078
ACTC,2006,6733.931748
ACTC,2007,8051.808916
ACTC,2008,10309.77883
ACTC,2009,14113.10745
ACTC,2010,17150.52761
ACTC,2011,18279.18422
ACTC,2012,22178.09742
ACTC,2013,21897.76433
ACTC,2014,23286.82754
ACTC,2015,21541.13074
ACTC,2016,16373.80561
ACTC,2017,17057.72646
